Название отеля;Стоимость за ночь;Расположение отеля;Ссылка на отель
Отель Альва Донна;от 3103;2-й Покровский проезд, д.10, Котельники;https://ostrovok.ru/hotel/russia/kotelniki/mid8184730/alva_donna_hotel_/
Отель Аристократъ;от 2367;улица Сергиевская, д. 1 А, Сергиев Посад;https://ostrovok.ru/hotel/russia/sergiyev_posad/mid7679532/aristokrat_2/
Отель Arthurs Spa Hotel By Mercure;от 11290;улица Хвойная, строение 26, Ларёво;https://ostrovok.ru/hotel/russia/laryovo/mid7695899/arturs_village_spa_hotel/
Отель Атлас Парк;от 5733;деревня Судаково, д. 92, Домодедово;https://ostrovok.ru/hotel/russia/domodedovo/mid7819760/atlas_park/
Гостиница Барские Полати;от 3179;улица Валовая, д. 2, Сергиев Посад;https://ostrovok.ru/hotel/russia/sergiyev_posad/mid6760919/barskie_polati/
Мини-Отель Crocus Star;от 2972;Красногорский бульвар, д. 24, Красногорск;https://ostrovok.ru/hotel/russia/krasnogorsk/mid8742609/crocus_star_minihotel/
Отель Фуд Сити;от 3292;Калужское шоссе, 22-й километр, д.10с23, Москва;https://ostrovok.ru/hotel/russia/moscow/mid9761064/fud_siti_hotel/
Гостевая Изба на Истре;от 3182;ул. Центральная, д. 6, Истра;https://ostrovok.ru/hotel/russia/istra/mid8561929/gostevaya_izba_na_istre/
Гостевой дом Шишкина;от 3000;улица Пионерская, дом 12, Сергиев Посад;https://ostrovok.ru/hotel/russia/sergiyev_posad/mid6814590/gostevoj_dom_shishkina/
Гостиница Аквариум;от 4860;Международная, д. 20, Крокус Экспо, Красногорск;https://ostrovok.ru/hotel/russia/krasnogorsk/mid7600766/gostinitsa_akvarium/
Гостиница Владимирская;от 2886;улица Пионерская, д.3, Сергиев Посад;https://ostrovok.ru/hotel/russia/sergiyev_posad/mid7076137/gostinitsa_vladimirskaya/
Гостиница Эдем;от 2809;улица Исаакиевское Озеро, д. 1, Орехово-Зуево;https://ostrovok.ru/hotel/russia/central_russia_orehovo-zuevo/mid8661260/hotel_edem_8/
Отель Hanaka;от 1725;улица Пионерская, д.21, микрорайон Салтыковка, Балашиха;https://ostrovok.ru/hotel/russia/balashikha/mid8848813/hotel_hanaka/
Сергиев Отель;от 2642;проспект Красной Армии, д.109, Сергиев Посад;https://ostrovok.ru/hotel/russia/sergiyev_posad/mid8847096/hotel_sergiev/
Гостиница Коломна;от 4081;пл. Советская, 2, Коломна;https://ostrovok.ru/hotel/russia/kolomna/mid7686010/kolomna/
Мини-отель на Сергиевской, 6;от 2200;улица Сергиевская, д. 6, Сергиев Посад;https://ostrovok.ru/hotel/russia/sergiyev_posad/mid6799382/minihotel_on_sergievskaya_street_6/
Отель Мон Ами Химки;от 2521;улица Совхозная, д. 29, Химки;https://ostrovok.ru/hotel/russia/khimki/mid9764049/monami_hotel/
Отель Sunflower Румянцево;от 3828;Kievskoe shosse, 22nd km, Business-park Rumjantsevo, estate 4, building E, Внуково;https://ostrovok.ru/hotel/russia/vnucovo/mid7770730/otel_insaidbiznes/
Гостиничный комплекс  Постоялый двор Русь;от 3135;улица 2-я Московская, д. 2/20, Серпухов;https://ostrovok.ru/hotel/russia/serpukhov/mid6341912/postoyaly_dvor_rus/
Отель Royal Relaxing Spa;от 2709;деревня Картмазово, улица Киевская, д. 4, Внуково;https://ostrovok.ru/hotel/russia/vnucovo/mid9991508/royal_relaxing_spa/
Отель Sheraton Moscow Sheremetyevo Airport;от 5400;шоссе Международное, д.28Б, стр.5, Москва;https://ostrovok.ru/hotel/russia/moscow/mid8022376/sheraton_moscow_sheremetyevo_airport_hotel/
Отель SkyPoint Шереметьево;от 2900;Международное ш., д. 28Б, стр. 3, Москва;https://ostrovok.ru/hotel/russia/moscow/mid7770271/skypoint_hotel/
Загородный комплекс Тропикана Парк;от 4347;деревня Брехово, Брехово;https://ostrovok.ru/hotel/russia/moscow_region_(without_moscow_city)_brekhovo_neighborhood/mid9080150/tropikana_park_hotel/
Гостиница Центральная;от 2400;Овражный переулок, дом 2А, Сергиев Посад;https://ostrovok.ru/hotel/russia/sergiyev_posad/mid7934388/tsentralnaya_hotel_4/
Отель Яхонты Ногинск;от 11000;деревня Жилино, Жилино;https://ostrovok.ru/hotel/russia/tyumen_oblast_zhilino/mid7759188/yahonty_hotel_/
Бутик-отель Красная гора;от 4200;Улица Кирова, д.8б, Сергиев Посад;https://ostrovok.ru/hotel/russia/sergiyev_posad/mid6792133/butikotel_krasnaia_gora/
Парк-отель Домодедово;от 3200;деревня Котляково, улица Дачная, д. 33, Домодедово;https://ostrovok.ru/hotel/russia/domodedovo/mid6795707/domodedovo_park_hotel/
Двухуровневые Апартаменты в ЖК Спутник;от 3050;улица Липовой Рощи, д. 1/3, Москва;https://ostrovok.ru/hotel/russia/moscow/mid9752442/dvuhurovnevyie_apartamentyi_v_zhk_sputnik/
Физтех.Отель;от 3500;улица Первомайская, д.3А, Долгопрудный;https://ostrovok.ru/hotel/russia/dolgoprudny/mid9771663/fiztehotel/
"Гостиница ""Гражданка""";от 4500;Гражданская улица,  д.92, Коломна;https://ostrovok.ru/hotel/russia/kolomna/mid9989192/gostinitsa_grazhdanka/
Гостиница Советская;от 2000;проспект Кирова, д. 1, Коломна;https://ostrovok.ru/hotel/russia/kolomna/mid8664664/gostinitsa_sovetskaya/
Хостел HotelHot Котельники;от 2270;Новорязанское шоссе, 6, Котельники;https://ostrovok.ru/hotel/russia/kotelniki/mid9090864/hostel_hotelhot_kotelniki/
Истра Холидей;от 9000;МО, Солнечногорский р-н, дер. Трусово, Трусово;https://ostrovok.ru/hotel/russia/trusovo/mid7821182/istra_holiday_hotel/
Отель Ливадия;от 3192;улица Советская, д.15 А, Истра;https://ostrovok.ru/hotel/russia/istra/mid8013448/livadiya/
Отель Мансарда;от 3000;улица Кирова, д.26 А, Люберцы;https://ostrovok.ru/hotel/russia/lyubertsy/mid8742042/mansarda_hotel/
Мини-Отель Марк;от 2336;улица Революции, д. 10, Серпухов;https://ostrovok.ru/hotel/russia/serpukhov/mid8664485/mark_mini_hotel/
Отель Vnukovo Village Park Hotel and Spa;от 2830;д. Картмазово, ул. Киевская, д. 4, Внуково;https://ostrovok.ru/hotel/russia/vnucovo/mid7632140/otel_kartmazovo/
Корона;от 2500;ул. Маяковского, д.2, стр. 1, Химки;https://ostrovok.ru/hotel/russia/khimki/mid8460948/otel_korona_himki/
Отель Мон Плезир Химки;от 2561;микрорайон Планерная, 14, Химки;https://ostrovok.ru/hotel/russia/khimki/mid7597308/otel_mon_plezir/
Отель Немчиновка-парк;от 4522;ул. 2-я Запрудная, д. 36, Немчиновка;https://ostrovok.ru/hotel/russia/moscow_region_nemchinovka/mid7715901/otel_nemchinovkapark/
Гостиница Пахра;от 2170;Архивный проезд, д.3, Подольск;https://ostrovok.ru/hotel/russia/podolsk/mid7859584/pakhra_hotel/
Парк Отель Воздвиженское;от 9300;дом отдыха Авангард, 1, Серпухов, Серпухов;https://ostrovok.ru/hotel/russia/serpukhov/mid8676813/parkhotel_vozdvizhenskoe/
Олимп парк-отель Коломна;от 4400;д. Малое Уварово, Малое Уварово;https://ostrovok.ru/hotel/russia/moscow_oblast_maloye_uvarovo/mid8515274/parkotel_olimp/
Отель Партизан;от 2549;улица Партизан, д. 69, Коломна;https://ostrovok.ru/hotel/russia/kolomna/mid9084815/partizan_hotel_2/
Русские Сезоны Комфорт Отель Пересвет;от 6800;улица Пионерская 9, Пересвет;https://ostrovok.ru/hotel/russia/peresvet/mid9768568/peresvet_komfort_otel/
Русские Сезоны Эко Отель Пересвет;от 7678;ул. Пионерская, 9, Пересвет;https://ostrovok.ru/hotel/russia/peresvet/mid9721772/russian_seasons_eco_hotel_peresvet/
Отель Sleepers Avia DME;от 2694;улица Жуковского, д.14/18, Домодедово;https://ostrovok.ru/hotel/russia/domodedovo/mid9770774/sleepers_avia_hotel_dme/
Sunflow Park Hotel;от 2649;деревня Картмазово, ул. Киевская, дом 4, Внуково;https://ostrovok.ru/hotel/russia/vnucovo/mid9996922/sunflow_park_hotel/
Отель Клуб Водник;от 2435;141707, Московская обл., г. Долгопрудный, ул. Набережная, д. 24, Долгопрудный;https://ostrovok.ru/hotel/russia/dolgoprudny/mid6427292/vodnik_club_/
Отель Zvezda;от 1255;улица 3-е Почтовое Отделение, д. 29А/1, Люберцы;https://ostrovok.ru/hotel/russia/lyubertsy/mid9227138/zvezda_hotel_5/
Тянь-Шань;от 6467;Новая ул., д. 100, Сколково;https://ostrovok.ru/hotel/russia/moscow_skolkovo_neighborhood/mid6762038/_0x15588/
40 Меридиан Арбат;от 4500;Московская обл.,г.Коломна,Водовозный пер.12, Коломна;https://ostrovok.ru/hotel/russia/kolomna/mid7816470/40th_meridian_arbat/
Арт Хостел Ван Гог;от 1700;Строительная улица, д. 3А, Красногорск;https://ostrovok.ru/hotel/russia/krasnogorsk/mid9081346/art_hostel_van_gog/
Отель Бережки-Холл;от 3859;Касимовское шоссе, 45А, Егорьевск;https://ostrovok.ru/hotel/russia/yegoryevsk/mid9769232/berezhkiholl_guest_house/
Мини-отель ДмитровГрад;от 2100;2-я Инженерная улица, д.2, Дмитров;https://ostrovok.ru/hotel/russia/dmitrov/mid8850642/dmitrov_grad/
Домодедово Аэро;от 1792;Вокзальная ул. 1а, Домодедово;https://ostrovok.ru/hotel/russia/domodedovo/mid9763895/domodedovo_aero/
"Отель Джунгли, Загородный клуб ""Айвенго""";от 3300;Симферопольское ш., 41й км., д. Александровка, 18км от МКАД, Подольск;https://ostrovok.ru/hotel/russia/podolsk/mid7757844/dzhungli_hotel_suburban_club_ivengo/
Отель Good Time;от 3900;Олимпийский проспект, д. 7А, Мытищи;https://ostrovok.ru/hotel/russia/mytishchi/mid8850486/goodtime_2/
Парк-Отель Орловский;от 16600;Орловский проезд, строение 12, Богданиха;https://ostrovok.ru/hotel/russia/bogdanikha/mid7700514/gostinichnyi_kompleks_orlovskii/
Отель Princess Frog;от 4400;улица Профессиональная, д. 23, Дмитров;https://ostrovok.ru/hotel/russia/dmitrov/mid6583319/hotel_princess_frog/
Отель Kartmazovo Country Club;от 2817;Киевская, 4, Картмазово;https://ostrovok.ru/hotel/russia/kartmazovo/mid9996894/kartmazovo_country_club/
Оздоровительный комплекс Клязьма;от 5775;Мытищинский район, Санаторная улица, 10, Поведники;https://ostrovok.ru/hotel/russia/povedniki/mid6775325/klyazma_holiday/
Отель Колибри;от 3900;Подмосковный бульвар, д.14, Красногорск;https://ostrovok.ru/hotel/russia/krasnogorsk/mid8685724/kolibri_6/
Отель Крошка Енот Ильинское шоссе;от 4200;улица Вокзальная, д.21, Красногорск;https://ostrovok.ru/hotel/russia/krasnogorsk/mid7932819/kroshka_enot_hotel_3/
Апарт-отель Москоу Кантри Клаб;от 12318;Московская область, Красногорский район, Нахабино;https://ostrovok.ru/hotel/russia/nakhabino/mid7807955/moscow_country_club_8/
Апарт-отель Мой год;от 4950;Московская улица, д.25, Коломна;https://ostrovok.ru/hotel/russia/kolomna/mid9321983/moy_god_aparthotel/
База отдыха Ок-Река;от 4930;Садовое Товарищество Дубки, Звенигород;https://ostrovok.ru/hotel/russia/zvenigorod/mid6693550/ok_reka/
Отель Вокруг Света;от 3286;Улица Университетская, д. 7, корпус 1, Дубна;https://ostrovok.ru/hotel/russia/dubna/mid6809598/otel_vokrug_sveta/
Гостиница Парк Отель;от 2900;Жуковского 5, Дубна;https://ostrovok.ru/hotel/russia/dubna/mid6431110/park_hotel__5/
Русские Сезоны Конгресс Отель Пересвет;от 8638;улица Пионерская дом 9, Пересвет, Пересвет;https://ostrovok.ru/hotel/russia/peresvet/mid9990510/russkie_sezonyi_kongress_hotel_peresvet/
Мини-отель Сфера;от 2600;улица Лесная, дом 1/17, строение 3, Солнечногорск;https://ostrovok.ru/hotel/russia/solnechnogorsk/mid8752286/sfera_4/
Отель Экотель Снегирек;от 2837;п. Снегири, ул. Октябрьская, д. 41, Снегири;https://ostrovok.ru/hotel/russia/snegiri/mid7937303/snegirek_eco_hotel/
Гостиничный комплекс Спортивный Парк Волен;от 6000;Троицкая улица, д. 1, Яхрома;https://ostrovok.ru/hotel/russia/yakhroma/mid9085262/volen/
Отель Ямской;от 2880;Почтовая улица, д.17, Ям;https://ostrovok.ru/hotel/russia/yam/mid6758644/yamskoy_hotel/
Отель Звенигород;от 2855;ул. Московская, д. 29, Звенигород;https://ostrovok.ru/hotel/russia/zvenigorod/mid8582090/zvenigorod_hotel_/
40-й Меридиан Яхт-Клуб;от 3859;Московская обл.,г.Коломна,ул.Береговая, вл.48, Коломна;https://ostrovok.ru/hotel/russia/kolomna/mid7816467/40th_meridian_yacht_club/
Отель Аквамарин;от 1778;улица Прибрежная, д. 17Б, Подрезово;https://ostrovok.ru/hotel/russia/podrezovo/mid9291625/akvamarin_hotel_4/
Курорт Красная Пахра;от 10613;ул. Парковая, дом 10, строение 1, Красное Село;https://ostrovok.ru/hotel/russia/krasnoe_selo/mid8683227/amaks_krasnaia_pakhra/
Отель Апельсин;от 3300;Ногинское Шоссе, д.36 Б, Электросталь;https://ostrovok.ru/hotel/russia/elektrostal/mid7892735/apelsin_hotel_2/
Гостевой Дом Чайка;от 2975;Проектируемый проезд № 389, Москва;https://ostrovok.ru/hotel/russia/moscow/mid9716167/chajka_guest_house_5/
Гостиница RigaLand;от 4081;26 км автодороги «Балтия» стр. 6, БЦ «РигаЛенд», Красногорск;https://ostrovok.ru/hotel/russia/krasnogorsk/mid8337574/gostinitsa_rigaland/
Гостевой дом ГОСТИШКА;от 2000;улица Ленина, д. 15 А, Коломна;https://ostrovok.ru/hotel/russia/kolomna/mid7050866/gostishka/
Отель Home;от 1900;пос.Московский, СНТ Верхнее Акатово, д.55c1, Московский;https://ostrovok.ru/hotel/russia/moskovskiy/mid6341516/homehotel/
Кемпинг-мотель Блинная гора;от 2466;улица Вознесенская, д. 15, Сергиев Посад;https://ostrovok.ru/hotel/russia/sergiyev_posad/mid8853767/kempingmotel_blinnaya_gora/
Отель Атриум;от 3023;улица Пристанционная, д. 6, Ступино;https://ostrovok.ru/hotel/russia/stupino/mid8582954/komfort_hotel_atrium/
Гринвуд Отель;от 5400;"МКАД, 72, бизнес-центр ""Гринвуд"", строение 24, Москва, Московская обл, Москва";https://ostrovok.ru/hotel/russia/moscow/mid7624861/melior_greenwood_hotel/
Гостевой дом Осоргино;от 1710;деревня Осоргино, д.39а, Одинцово;https://ostrovok.ru/hotel/russia/odintsovo/mid9989253/osorgino_guest_house/
Отель Искра;от 3800;Улица Репина, д.6, Химки;https://ostrovok.ru/hotel/russia/khimki/mid6638516/otel_iskra/
Kamelot;от 1700;Егорьевское шоссе, д.20, Люберцы;https://ostrovok.ru/hotel/russia/lyubertsy/mid8870954/otel_kamelot_4/
Отель Посадский;от 3150;пр-кт Красной Армии, д. 171, Сергиев Посад;https://ostrovok.ru/hotel/russia/sergiyev_posad/mid6661097/otel_posadskii/
Отель и спа Palmira Garden;от 9868;ул. Школьная 92, Видное;https://ostrovok.ru/hotel/russia/vidnoye/mid9291179/palmira_garden_hotel_spa_palmira_garden/
Парк-Отель Софрино;от 7954;п/о Талицы, деревня Могильцы, Могильцы;https://ostrovok.ru/hotel/russia/mogilci/mid8476744/parkhotel_sofrino/
Санаторий Валуево;от 4800;поселение Филимонковское, пос. Валуево, Внуково;https://ostrovok.ru/hotel/russia/vnucovo/mid6783028/sanatorii_valuevo/
Апартаменты Sky club Сколково;от 4000;улица Овражная, д. 47А, Новоивановское;https://ostrovok.ru/hotel/russia/novoivanovskoe/mid9990544/sky_club_apartments_skolkovo/
Гостевой дом Центральная Усадьба;от 1674;Пионерская улица, д. 7а, Коломна;https://ostrovok.ru/hotel/russia/kolomna/mid6960289/tsentralnaya_usadba/
Отель Тюлип Инн Софрино Парк;от 14000;территория Парк-отеля Софрино, Могильцы;https://ostrovok.ru/hotel/russia/mogilci/mid8776485/tulip_inn_sofrino_park_hotel/
Отель в Котельниках Диана;от 1700;мкр. Силикат, д.44, Москва;https://ostrovok.ru/hotel/russia/moscow/mid8744722/v_kotelnikah_diana_hostel/
Бутик-Отель Воскресенский;от 2985;улица Шнырева, д.2, Истра;https://ostrovok.ru/hotel/russia/istra/mid8848530/voskresenskij_hotel/
Отель Вояж;от 2627;Кубинское шоссе, д. 5, Наро-Фоминск;https://ostrovok.ru/hotel/russia/naro-fominsk/mid8476758/voyazh_hotel/
ЗАО Санаторий Ерино;от 8016;Санаторий Ерино, Подольск;https://ostrovok.ru/hotel/russia/podolsk/mid8684960/zao_sanatorij_erino/
Отель Алпатьево;от 2357;с. Алпатьево, д.40 б, Алпатьево;https://ostrovok.ru/hotel/russia/alpatyevo/mid7935401/alpatievo_hotel/
Отель Бекасово;от 8280;"пос. Бекасово, территория ""д.о Бекасово"", строение 1, Бекасово";https://ostrovok.ru/hotel/russia/bekasovo/mid6719768/bekasovo_hotel/
Парк-отель Медвежьи Озёра;от 6100;улица Берег Озера, дом 1, Медвежьи Озера;https://ostrovok.ru/hotel/russia/medvezh'i_ozera/mid7756719/country_club_medvezhy_ozera/
Отель East Gate;от 4910;пр. Ленина, д. 25, Балашиха;https://ostrovok.ru/hotel/russia/balashikha/mid7778713/east_gate_hotel/
Мини-Отель ЭРЗИ КЛАБ;от 3359;Красногорский бульвар, д. 24, Красногорск;https://ostrovok.ru/hotel/russia/krasnogorsk/mid8744438/erzi_club_minihotel/
Гостевой дом Щеголева;от 1900;улица Щеголева, д.14а, Истра;https://ostrovok.ru/hotel/russia/istra/mid9992653/gostevoj_dom_schegoleva/
Гостиничный Комплекс Машиностроения;от 2000;Ашхабадская улица, д. 1, Реутов;https://ostrovok.ru/hotel/russia/reutov/mid6704724/gostinichny_kompleks_mashinostroeniya/
Гостиница Герда;от 2400;улица Веры Волошиной, д.21, Мытищи;https://ostrovok.ru/hotel/russia/mytishchi/mid7796207/gostinitsa_gerda/
Валеско Отель & СПА;от 6674;Московская область, Ленинский район, п/о  Володарское,  деревня Григорчиково, Богданиха;https://ostrovok.ru/hotel/russia/bogdanikha/mid8091374/grigorchikovo_resort/
"отель ""Гармония-М""";от 2500;Железнодорожная, д.61, Мытищи;https://ostrovok.ru/hotel/russia/mytishchi/mid9987314/hotel_garmoniyam/
Отель Sunflower Vnukovo;от 3900;улица Хабарова, д. 2, Внуково;https://ostrovok.ru/hotel/russia/vnucovo/mid8748293/inside_moskovskiy/
Квартиры в доме купчихи Морозовой;от 2700;Коломна, ул Октябрьской революции, д 210, Коломна;https://ostrovok.ru/hotel/russia/kolomna/mid9996949/kvartiryi_v_dome_kupchihi_morozovoj/
Отель Lesnoy Country House;от 4900;поселок Лесной городок, улица Школьная, д. 6 А, Одинцово;https://ostrovok.ru/hotel/russia/odintsovo/mid8744327/lesnoy_country_house_hotel/
Отель Горки-10;от 2635;Рублево-Успенское Шоссе, 23 A, посёлок Горки -10, дом 10/2, Горки;https://ostrovok.ru/hotel/russia/gorki/mid6754047/minihotel_grcgorki_10/
Мистраль Отель и СПА;от 16191;Рождественно, 60, Истринский район, Рождественно;https://ostrovok.ru/hotel/russia/rozhdestvenno/mid7845636/mistral_10/
Апартаменты New in a residential complex innovation;от 2620;Луговая улица, д. 2а, Москва;https://ostrovok.ru/hotel/russia/moscow/mid9769049/new_in_a_residential_complex_innovation_apartments/
Отель Родина;от 2400;Вознесенская улица, 53А, Сергиев Посад;https://ostrovok.ru/hotel/russia/sergiyev_posad/mid9213344/noj_hotel_3/
Парк Отель Звенигород;от 9393;Улица Лермонтова, владение 64, Звенигород;https://ostrovok.ru/hotel/russia/zvenigorod/mid9024386/park_hotel_zvenigorod/
Hostel PitStop;от 1817;улица Центральная, д.142/1, Серпухов;https://ostrovok.ru/hotel/russia/serpukhov/mid9024165/pitstop_hostel_3/
Хостел Star Myakinino;от 3150;Красногорский бульвар, д.18, Красногорск;https://ostrovok.ru/hotel/russia/krasnogorsk/mid8753419/rus_myakinino_hostel/
Русские Сезоны Парк Отель Пересвет;от 14613;Улица Пионерская, д.9, Пересвет;https://ostrovok.ru/hotel/russia/peresvet/mid9776172/russian_seasons_parkhotel_peresvet/
Гостевой дом Sport Point;от 4672;микрорайон Новогорск, ул Олимпийская 2а, Химки, Химки;https://ostrovok.ru/hotel/russia/khimki/mid6822110/sport_point/
Мини-отель Старый Дворик;от 2011;деревня Обушково, д. 124, Обушково;https://ostrovok.ru/hotel/russia/obushkovo/mid8494281/staryi_dvorik_minihotel/
Хостел Улей;от 2405;Павшинский бульвар, 34, Красногорск;https://ostrovok.ru/hotel/russia/krasnogorsk/mid9211160/ulej_hostel_4/
Апартаменты ЖК Спутник;от 2530;улица Липовой рощи, д.2/2, Красногорск;https://ostrovok.ru/hotel/russia/krasnogorsk/mid9771360/zhk_sputnik_apartments/
